ID,URL,Location,Company,Employment Type,Years of Exp,Education Level,Data
234317,https://www.ergodotisi.com/en/JobDetails/234317/XM,"Famagusta, Paphos, Larnaca, Nicosia, Limassol",XM,Full Time,2,,"  Site Reliability Engineer (Cyprus/Greece)    Limassol, Nicosia, Larnaca, Paphos, Famagusta CY    Forex Computer Science, Forex   XM   You will join a team working with cutting-edge technologies and striving to utilize cloud services to the maximum.   1/6/2024 12:00:00 AM 2/6/2024 12:00:00 AM     Site Reliability Engineer (Cyprus/Greece) new REF. NUM: 234317     Limassol, Nicosia, Larnaca, Paphos, Famagusta  posted 28 days ago     XM  expires in 3 days    175            CATEGORY: Computer Science, Forex  PUBLISHED BY: Private Company (LTD)   EMPLOYMENT TYPE: Fulltime INDUSTRY: Forex        Site Reliability Engineer (Cyprus/Greece) The Role:  You will join a team working with cutting-edge technologies and striving to utilize cloud services to the maximum. Your role will be to monitor critical applications and services to ensure their availability and minimize downtime. You will also ensure that the underlying infrastructure runs smoothly and systems/tools work as expected, help developers with troubleshooting and provide consultation in case of alerts. The main responsibilities of the position include: Monitor critical application metrics and create alertsBuild or use software to help DevOps, Devs and Support teamsFix support escalation issuesMaintain documentation and runbooksConduct post-incident reviews Main requirements: 2+ years of experience in a similar roleExperience in incident, problem and change management practicesExtensive working experience with CI/CD procedures and tools (e.g. Gitlab CI)Strong experience using containers and KubernetesExperience with Infrastructure as Code (Terraform, CloudFormation)Ability to work as part of a distributed teamExperience with monitoring tools (Prometheus, Grafana, New Relic) The following will be considered an advantage:  Familiarity with database conceptsWorking experience with at least one cloud provider (preferably AWS)Experience with Apache Kafka configuration and troubleshootingExperience with ELK configuration and troubleshootingScripting skills (Bash, PowerShell, Python, Go, etc.) Benefit from: Attractive remuneration package Private health insurance Corporate pension fundIntellectually stimulating work environmentContinuous personal development and international training opportunities Type of employment: Full time Location: Cyprus or Greece Please visit our website www.xm.com/careers to submit your online application for this position. All applications will be treated with strict confidentiality!  "
235846,https://www.ergodotisi.com/en/JobDetails/235846/MysteryTag,Famagusta,MysteryTag,Full Time,not given,,"  Junior Manual QA Engineer     Famagusta CY    Telecommunication / Internet Computer Science   MysteryTag   The developer and publisher of mobile games, Mystery Tag, is looking for a Junior Manual QA Engineer to join their team at the office in Ayia Napa.   1/16/2024 12:00:00 AM 2/16/2024 12:00:00 AM     Junior Manual QA Engineer  new REF. NUM: 235846     Famagusta  posted 18 days ago     MysteryTag  expires in 13 days    133            CATEGORY: Computer Science  PUBLISHED BY: Public Company (PLC)   EMPLOYMENT TYPE: Fulltime INDUSTRY: Telecommunication / Internet      APPLY ONLINE   Job Responsibilities:Ensuring product compliance with quality standards;Conducting testing activities;Analysis and testing of requirements;Development and maintenance of up-to-date test design;Creating testing artifacts, reporting results to management.Our Requirements:Proficiency in Ukrainian language;Proficiency in Test Management Tools, Project Management Tools, Wiki (JIRA, Redmine, Trello, Confluence, Google Docs, etc.);Experience with debugging tools (Android Studio, iTunes, iTools, Dev Console, Charles, Fiddler, etc.);Skills in developing and maintaining relevant testing documentation;Knowledge and understanding of the basic principles of client-server architecture of applications;Knowledge and understanding of the software development process and life cycle;Ability to work in a multitasking environment;Proactivity, quick learning, and a desire to develop.Would be a plus:Experience in analyzing, reviewing, and testing product requirements (business requirements, technical requirements, GDD);Experience working with version control systems (Git);Experience working with databases (SQL, MySQL).We will be glad to offer:Official employment, vacation, and sick leave with no loss of wages;Comfortable office in Ayia Napa;The opportunity for career growth;Comfortable and flexible working hours.  "
235561,https://www.ergodotisi.com/en/JobDetails/235561/HF-Markets,Larnaca,HF Markets,Full Time,not given,"BSc, BA","  QA Automation Engineer    Larnaca CY    Forex Computer Science, Forex   HF Markets   HF Markets is searching for an enthusiastic and committed QA Automation Engineer to join our dynamic team!   1/12/2024 12:00:00 AM 2/12/2024 12:00:00 AM     QA Automation Engineer new REF. NUM: 235561     Larnaca  posted 22 days ago     HF Markets  expires in 9 days    165            CATEGORY: Computer Science, Forex  PUBLISHED BY: Private Company (LTD)   EMPLOYMENT TYPE: Fulltime INDUSTRY: Forex        We are searching for an enthusiastic and committed QA Automation Engineer to join our dynamic team at HF Markets.Your role at HF Markets:Contribute to the design and development of automated test scripts using tools like Selenium, Appium, etc., to validate web and mobile applications functionality.Contribute to the management and maintenance of test data essential for automated testing, ensuring data consistency, accuracy, and security.Support the configuration of test environments by assisting in the preparation and establishment of necessary procedures and infrastructure for automated tests.Participate in the integration of automated tests into continuous integration and continuous deployment pipelines, providing quick feedback on code changes.Support the ongoing maintenance of automated test scripts, adapting to changes in the application to ensure the effectiveness and accuracy of the test automation framework.Assist in the development of automated performance tests to evaluate application responsiveness, scalability, and stability under various load conditions.Assist manual testers by automating repetitive and time-consuming test scenarios, enabling them to focus on more complex testing aspects.Work closely with the development team to understand and address issues identified during automated testing, actively participating in the resolution process.What You Bring:BSc/BA in Computer Science, Computer Engineering, or a relevant field.Graduate applications are welcome.Prior experience in a similar role would be considered an advantage.Familiarity with basic QA concepts and a willingness to expand knowledge in quality assurance.Basic knowledge of programming languages, such as Python, Java, or others.Basic knowledge of relational databases and SQL.Keen interest in learning and working with automation testing tools like Selenium, Appium, etc.Familiarity with Linux OS, such as Red Hat or Ubuntu.Experience with CI/CD systems (e.g., Jenkins) and version control systems (e.g., Git) would be considered an advantage.Familiarity with containerization technologies such as Docker would be considered an advantage.Demonstrated problem-solving aptitude and a proactive approach to challenges.Strong attention to detail to contribute to accurate and effective testing.Strong interest in software testing and automation.Ability to work collaboratively as part of a team.By joining us, you can expect:Attractive remuneration package22 days of Annual Leave (reaching up to 30 days per year based on years’ service)Hybrid Work ModeFriday afternoons off in Summer (July & August)Birthdays are always a day off!Referral Bonus – refer a candidate we would all enjoy to work with!!Participation in the Company’s Medical Scheme from day one!Participation in the Company’s Group Discount SchemeFree Gym Membership (Larnaca)Unlimited snacks, fruits and beveragesComplimentary periodic lunches at the officeFun team-building activities & Corporate eventsLifelong Learning Allowance plus paid Educational LeaveWho is HF Markets?Established Broker since 2010 | 60+ Industry Awards | over 3,500,000 Live Accounts | 300+ Employees Globally | 40+ Different Nationalities | At HF Markets, our workforce is our biggest asset. For this reason, we reward our employees’ individual talent and skills, and encourage them to reach their full potential in an engaging workplace that fosters excellence.Kick off an exceptional career with HF Markets and follow the path to success!Sounds like you? Come and write the next chapter with us through our Careers website: www.hfeu.com/careersAll applications will be treated as confidential.HF Markets is an Equal Opportunity Employer.  "
233750,https://www.ergodotisi.com/en/JobDetails/233750/HF-Markets,Larnaca,HF Markets,Full Time,3,"BSc, BA","  Senior Manual QA Engineer    Larnaca CY    Forex Computer Science, Forex   HF Markets   HF Markets is searching for a Senior Manual QA Engineer to join our dynamic team!   1/3/2024 12:00:00 AM 2/3/2024 12:00:00 AM     Senior Manual QA Engineer new REF. NUM: 233750     Larnaca  posted 31 days ago     HF Markets  expires today    140            CATEGORY: Computer Science, Forex  PUBLISHED BY: Private Company (LTD)   EMPLOYMENT TYPE: Fulltime INDUSTRY: Forex        We are searching for an enthusiastic and committed Senior Manual QA Engineer to join our dynamic team at HF Markets.Your role at HF Markets:Review and understand business requirements, features, and technical implementation of developed software.Create, maintain, and execute manual test cases for our mobile and web applications.Run manual execution of testing scenarios on the core software while monitoring previous issues and ensuring that they will not surface or be disregarded.Have close collaboration with the development team to ensure the quality of the product at all stages of the development process.Enhance software delivery and quality throughout the entire software development cycle.Ensure that software meets functional and non-functional requirements.Track issues and drive resolutions throughout the testing process.Manage in-house testing documentation, write, and continuously review test strategy.Report testing status to Manual QA Team Leader.What You Bring:BSc/BA in Computer Science, Computer Engineering, or related field.3+ years’ experience in manual testing of software products.Web and Mobile (iOS and Android) testing experience.Experience in Jira Software.Good team working and critical thinking skills.Experience with automated testing tools and frameworks and ISTQB certification would be considered an advantage.By joining us, you can expect:Attractive remuneration package.22 days of Annual Leave (reaching up to 30 days per year based on years’ service).Hybrid Work Mode.Friday afternoons off in Summer (July & August).Birthdays are always a day off!Referral Bonus – refer a candidate we would all enjoy to work with!!Participation in the Company’s Medical Scheme from day one!Participation in the Company’s Group Discount Scheme.Free Gym Membership (Larnaca).Unlimited snacks, fruits, and beverages.Complimentary periodic lunches at the office.Fun team-building activities & Corporate events.Lifelong Learning Allowance plus paid Educational Leave.Who is HF Markets?Established Broker since 2010 | 60+ Industry Awards | over 3,500,000 Live Accounts | 300+ Employees Globally | 40+ Different Nationalities |At HF Markets, our workforce is our biggest asset. For this reason, we reward our employees’ individual talent and skills, and encourage them to reach their full potential in an engaging workplace that fosters excellence.Kick off an exceptional career with HF Markets and follow the path to success!Sounds like you? Come and write the next chapter with us through our Careers website: www.hfeu.com/careersAll applications will be treated as confidential.HF Markets is an Equal Opportunity Employer.  "
235565,https://www.ergodotisi.com/en/JobDetails/235565/HF-Markets,Larnaca,HF Markets,Full Time,3,"BSc, BA","  Senior QA Automation Engineer    Larnaca CY    Forex Computer Science, Forex   HF Markets   HF Markets is searching for an enthusiastic and committed Senior QA Automation Engineer to join our dynamic team!   1/15/2024 12:00:00 AM 2/15/2024 12:00:00 AM     Senior QA Automation Engineer new REF. NUM: 235565     Larnaca  posted 19 days ago     HF Markets  expires in 12 days    113            CATEGORY: Computer Science, Forex  PUBLISHED BY: Private Company (LTD)   EMPLOYMENT TYPE: Fulltime INDUSTRY: Forex        We are searching for an enthusiastic and committed Senior QA Automation Engineer to join our dynamic team at HF Markets.Your role at HF Markets:Design and develop robust automated test scripts using cutting-edge tools and frameworks (e.g., Selenium, Appium), to verify the functionality of both web and mobile applications.Manage and maintain test data essential for automated testing, ensuring data consistency, accuracy, and security.Configure test environments by preparing and establishing the necessary procedures and infrastructure to facilitate the development and execution of automated tests.Integrate automated tests into continuous integration and continuous deployment pipelines. Regularly run automated tests as part of CI/CD to provide quick feedback on code changes and facilitate efficient development workflows.Continuously update and maintain automated test scripts to adapt to changes in the application, ensuring the ongoing effectiveness and accuracy of the test automation framework.Develop automated performance tests to evaluate the application’s responsiveness, scalability, and stability under various load conditions.Provide support to manual testers by automating repetitive and time-consuming test scenarios, enabling the manual QA team to focus on edge cases, complex scenarios, and usability testing. Collaborate on test case design and execution strategies to create a balanced and effective testing approach that leverages both automated and manual testing.Collaborate closely with the development team to communicate issues identified during automated testing and assist in their resolution. Ensure that testability, automation coverage, and testing best practices are seamlessly integrated into the development process.Mentor and train junior QA automation engineers to help them build their skills and knowledge.Stay up to date with the latest tools, technologies, and industry trends related to software testing and automation.What You Bring:BSc/BA in Computer Science, Computer Engineering, or a relevant field.3+ years’ experience as a QA Automation Engineer.A thorough understanding of relevant QA technologies and methodologies.Extensive expertise in test automation tools such as Selenium, Appium, and related frameworks.Proficient in scripting languages like Bash, Python, Groovy, and Ruby.In-depth knowledge of relational databases and SQL.Experience with CI/CD systems (e.g., Jenkins) and version control systems (e.g., Git).Good knowledge of test automation tools such as Junit, pytest.Proven experience with Postman and/or SoapUI for API and backend services testing.Practical experience with JavaScript and HTML/CSS to support automated tests development.Hands-on experience in Linux environments (e.g., Red Hat, Ubuntu).Familiarity with containerization technologies such as Docker.Familiarity with Kubernetes would be considered an advantage.Familiarity with JIRA or similar defect tracking tools.Experience with Python web frameworks (e.g., Flask, Tornado, FastAPI) would be considered an advantage,Strong analytical and problem-solving skills.Excellent communication and collaboration abilities.Proactive approach to process improvement.Comfortable in a fast paced, deadline driven environment.By joining us, you can expect:Attractive remuneration package22 days of Annual Leave (reaching up to 30 days per year based on years’ service)Hybrid Work ModeFriday afternoons off in Summer (July & August)Birthdays are always a day off!Referral Bonus – refer a candidate we would all enjoy to work with!!Participation in the Company’s Medical Scheme from day one!Participation in the Company’s Group Discount SchemeFree Gym Membership (Larnaca)Unlimited snacks, fruits and beveragesComplimentary periodic lunches at the officeFun team-building activities & Corporate eventsLifelong Learning Allowance plus paid Educational LeaveWho is HF Markets?Established Broker since 2010 | 60+ Industry Awards | over 3,500,000 Live Accounts | 300+ Employees Globally | 40+ Different Nationalities |At HF Markets, our workforce is our biggest asset. For this reason, we reward our employees’ individual talent and skills, and encourage them to reach their full potential in an engaging workplace that fosters excellence.Kick off an exceptional career with HF Markets and follow the path to success!Sounds like you? Come and write the next chapter with us through our Careers website: www.hfeu.com/careersAll applications will be treated as confidential.HF Markets is an Equal Opportunity Employer.  "
233740,https://www.ergodotisi.com/en/JobDetails/233740/HF-Markets,Larnaca,HF Markets,Full Time,not given,"BSc, BA","  DevOps Engineer (Database Focus)    Larnaca CY    Forex Computer Science, Forex   HF Markets   HF Markets is searching for an enthusiastic and committed DevOps Engineer with Database Focus to join our dynamic team!   1/3/2024 12:00:00 AM 2/3/2024 12:00:00 AM     DevOps Engineer (Database Focus) new REF. NUM: 233740     Larnaca  posted 31 days ago     HF Markets  expires today    103            CATEGORY: Computer Science, Forex  PUBLISHED BY: Private Company (LTD)   EMPLOYMENT TYPE: Fulltime INDUSTRY: Forex        We are searching for an enthusiastic and committed DevOps Engineer with Database Focus to join our dynamic team at HF Markets.As a DevOps Engineer emphasizing databases, you'll be an integral part of our IT department, reporting directly to the head of DevOps. This role is tailored for those passionate about planning, managing, and scaling datastores, ensuring our business's intricate data requirements are seamlessly met.A Note to Applicants:While specific qualifications are a valuable asset, we place immense value on passion and a genuine willingness to learn. If you're brimming with enthusiasm about databases, eager to carve a niche for yourself, and confident in your potential, we wholeheartedly encourage you to apply.Your role at HF Markets:Spearhead the implementation of real-time monitoring solutions, ensuring proactive identification and resolution of potential system challenges.Provide and manage database infrastructure using cutting-edge Infrastructure as Code tools.Seamlessly integrate database modifications into the CI/CD pipeline, ensuring meticulous testing and deployment of database schema alterations.Lead regular performance evaluations, ensuring our databases operate optimally under diverse loads.Forge strong collaborations with application developers, security teams, and other stakeholders, ensuring our database operations are in perfect harmony with organizational objectives.Stay ahead of the curve by engaging in continuous learning opportunities, workshops, and training sessions pertinent to database and DevOps roles.Master cloud-based database solutions, playing a pivotal role in their implementation and management.Database Administration:Champion rigorous security measures, conducting regular audits to ensure our databases are impervious to threats. Uphold the highest standards of data integrity through continuous monitoring and validation.Design and test robust backup and recovery processes, guaranteeing swift data restoration in the face of failures.Oversee the meticulous management and scaling of datastores, ensuring unparalleled performance and reliability.Play a key role in crafting disaster recovery blueprints and contributing to high availability database configurations, such as replication and clustering.What You Bring:BSc/BA in Computer Science or any relevant field.Graduate applications are welcome.Prior experience in a similar role would be considered an advantage.A foundational to intermediate grasp of database administration, monitoring, and maintenance.Prior experience with database automation tools, with tools like Saltstack would be considered an advantage.A proactive mindset, always on the lookout for potential database challenges and solutions.Familiarity with Docker and container-based build infrastructures would be considered an advantage.A good understanding of version control systems, particularly Git.Experience monitoring tools like Prometheus, Thanos, and Grafana would be considered an advantage.Stellar communication skills, especially when discussing intricate technical concepts.A commitment to documenting and mastering best practices for data storage systems.Exposure in agile software development methodologies would be considered an advantage.By joining us, you can expect:Attractive remuneration package.22 days of Annual Leave (reaching up to 30 days per year based on years’ service).Hybrid Work Mode.Friday afternoons off in Summer (July & August).Birthdays are always a day off!Referral Bonus – refer a candidate we would all enjoy to work with!!Participation in the Company’s Medical Scheme from day one!Participation in the Company’s Group Discount Scheme.Free Gym Membership (Larnaca).Unlimited snacks, fruits and beverages.Complimentary periodic lunches at the office.Fun team-building activities & Corporate events.Lifelong Learning Allowance plus paid Educational Leave.Who is HF Markets?Established Broker since 2010 | 60+ Industry Awards | over 3,500,000 Live Accounts | 300+ Employees Globally | 40+ Different Nationalities |At HF Markets, our workforce is our biggest asset. For this reason, we reward our employees’ individual talent and skills, and encourage them to reach their full potential in an engaging workplace that fosters excellence.Kick off an exceptional career with HF Markets and follow the path to success!Sounds like you? Come and write the next chapter with us through our Careers website: www.hfeu.com/careersAll applications will be treated as confidential.HF Markets is an Equal Opportunity Employer.  "
237944,https://www.ergodotisi.com/en/JobDetails/237944/CareerFinders-Recruitment-Services-Ltd,"Nicosia, Limassol",CareerFinders Recruitment Services Ltd ,Full Time,3,,"  IT Network Engineer (6595)    Limassol, Nicosia CY    Computer Science Computer Science   CareerFinders Recruitment Services Ltd    CareerFinders, on behalf of our client, a long-established provider of IT Services & Solutions, are seeking an IT Network Engineer.   1/31/2024 12:00:00 AM 2/29/2024 12:00:00 AM     IT Network Engineer (6595) new REF. NUM: 237944     Limassol, Nicosia  posted 3 days ago     CareerFinders Recruitment Services Ltd   expires in 26 days    154            CATEGORY: Computer Science  PUBLISHED BY: Private Company (LTD)   EMPLOYMENT TYPE: Fulltime INDUSTRY: Computer Science        CareerFinders, on behalf of our client, a long-established provider of IT Services & Solutions to clients across Cyprus, are seeking to recruit an IT Network Engineer to join their growing teams based in either Limassol or Nicosia. The successful applicant will ideally be educated to degree level in Computer Science, Information Technology or a related field and possess approximately 3+ years of previous experience in a relevant role. You will need to have strong knowledge and experience in computer/network security, network security software, IP addressing schemes and penetration testing as well as experience with routing and switching technologies. Holders of the CCNA/CCNP certifications are encouraged to apply and fluency in both Greek & English is a must. Key Duties/Responsibilities: Provide daily monitoring, analysis, and administration of network operations.Provides guidance and advisory to technical support in the installation and maintenance of networks.Install and build network infrastructure for multiple properties.Evaluate hardware and software solutions for suitable network implementation.Plans and configures monitoring tools to ensure service level are met.Troubleshoot and resolve networking problems.Provides technical and operation support as well as conduct training to end users.Maintains inventory listing of LAN/WAN deployment.Key Skills/Experience: Degree in Computer Science or any related field.3+ years of relevant IT network experience.Preferred CCNA/CCNP certificates.Excellent knowledge and experience in computer/network security, network security software, IP addressing schemes, penetration testing.Experience with routing and switching technologies.Experience on VLAN, Firewall, EIGRP, OSPF, BGP, VPN, port security, IPS and High availability setup.Experience in structure cabling system with CAT and fibre cables.Fluency in English and Greek.Excellent troubleshooting skills and fast technology learner.Ability to work under pressure.Key Benefits: A highly competitive remuneration package based on skills and experience.Ongoing opportunities for professional growth and development.An array of paid trainings will be offered.To apply for this vacancy, please send your CV, along with any covering letter to jobs@careerfinders.com.cy quoting the reference number ERG6595. Please note that due to the high volumes of applications received only shortlisted applicants will be responded to. To view our privacy policy, please click www.careerfinders.com.cy/privacy-policy.  "
234490,https://www.ergodotisi.com/en/JobDetails/234490/RISKMATRIX-LTD,Larnaca,RISKMATRIX LTD,Full Time,not given,"BSc, MSc","  Software Engineer    Larnaca CY    Computer Science Computer Science, Work from home   RISKMATRIX LTD   RiskMatrix are interested in hiring a Software Engineer.   1/8/2024 12:00:00 AM 2/8/2024 12:00:00 AM     Software Engineer new REF. NUM: 234490     Larnaca  posted 26 days ago     RISKMATRIX LTD  expires in 5 days    292            CATEGORY: Computer Science, Work from home  PUBLISHED BY: Private Company (LTD)   EMPLOYMENT TYPE: Fulltime INDUSTRY: Computer Science        Job descriptionRiskMatrix are interested in hiring Software Engineers with a minimum experience of two to three years. One of their primary tasks will be to undertake existing projects that were developed for system integration of our core software with third-party solutions of client-banks, as well as the enhancement of the product with additional functionality. This position involves both client-facing interaction and consultation and back-end coding and appeals to team-players. The candidates will have a passion for technology and extensive experience in software configuration and client support. Attention to detail and an analytical mind are considered essential prerequisites. ResponsibilitiesDevelop custom software modules within the solutions promoted and implemented by the company. Deploy and configure software modules to clients either on-site or remotely. Collaborate with a team of IT professionals to agree on the specifications for new deployments. Attend discovery workshops and fact-finding meetings to consult and record system requirements Prepare business proposals, projects plan, and effort estimates for the proposed solutions Prepare the technical documents as well as the user manuals for the proposed solutions Integrate individual software solutions to external systems. Conduct functional and non-functional testing. Troubleshoot and debug applications. Support the deployed software solutions, together with the prerequisites and provide solutions to all issues that arise. Supervise assigned resources and manage project timelines and team tasks, ensuring timely completion of projects to company specifications (for experienced candidates). Provide knowledge transfer workshops and training (internally and to clients) as needed. RequirementsA BSc degree in Computer Science or relevant field. An MSc degree will be considered an advantage. Analytical thinking and problem-solving capability. Ability to handle multiple competing priorities in a fast-paced, deadline-driven environment. Knowledge on relational database systems and document or hybrid databases. Sound knowledge of HTML5/CSS3. Experience in object-oriented programming languages such as C#, .NET. Experience developing REST and SOAP APIs. Experience with ASP.Net MVC / ASP.Net Core MVC. Experience with ORM Frameworks such as Entity Framework, Dapper etc. Experience in modern front-end frameworks such as Angular, React etc., or Blazor. Experience in Report design with reporting tools such as Crystal Reports, DevExpress, Telerik, Jasper etc. Knowledge of operating systems and platforms such as RedHat Linux and Microsoft Windows Server will be considered an advantage. Excellent communication and management skills. Basic knowledge of accounting/financial analysis will be considered as an advantage. The CompanyRiskMatrix are a Cyprus-based entity, appointed by Moody’s Analytics as its regional partner for Cyprus, Greece, Turkey, the Middle East, the CIS region and Northern and Eastern Africa, currently supporting over one hundred banks, having successfully undertaken over one hundred credit modelling exercises on behalf of our clients and Moody’s Analytics. RiskMatrix are a certified elite partner of Moody’s Analytics, having achieved the highest possible accolade within the Moody’s Analytics accreditation scheme. The company’s key activities include the promotion, system implementation and technical/business support for the Moody’s Analytics credit risk assessment and origination software solutions as well as the provision of credit analytics and IT consulting services.The position is based in Larnaca, Cyprus.Please forward your cv together with an application letter to: humanresources@riskmatrixirms.comContact Tel: +357-24669488  "
237441,https://www.ergodotisi.com/en/JobDetails/237441/Akelius,Nicosia,Akelius,Full Time,3,,"  QA Engineer    Nicosia CY    Web Design / Developing Computer Science   Akelius   Are you looking for a career opportunity within a global, growing company? Then you might be our new QA Engineer.   1/26/2024 12:00:00 AM 2/23/2024 12:00:00 AM     QA Engineer new REF. NUM: 237441     Nicosia  posted 8 days ago     Akelius  expires in 20 days    174            CATEGORY: Computer Science  PUBLISHED BY: Private Company (LTD)   EMPLOYMENT TYPE: Fulltime INDUSTRY: Web Design / Developing        Job Overview Are you looking for a career opportunity within a global, growing company? Then you might be our new QA Engineer. Job Description In cooperation with UNICEF, the Akelius Languages Online gGmbH develops a language learning application. Currently, the language course is available in ten languages. Swedish, English, Greek, French, Italian, Spanish, German, Portuguese, Russian and Polish. We are seeking a highly motivated and experienced candidate to contribute to the development of our native iOS application.   You will be based in our Cyprus office.Key Responsibilities Developing automation test tools for the purpose of the official UNICEF mobile learning toolTest and ensure stability of the mobile iOS applicationCreate and execute test scenarios, smoke tests and regression tests Proactive member within our team meetings, with an active voice and opinionWork closely with developers to ensure that testing layers cover the entire projectBe a good listener with empathyEager to learn and coachWho You AreWe are looking for someone with QA experience and passion for finding and fixing bugs.At least 3 years of professional experience in quality assuranceAn ability to analyze problems independently to the ""root cause"" and find a smarter solution through your constant will to improveIn-depth knowledge of the iOS application lifecyclePrior experience with automated testing is beneficialBuilding and maintaining pipelines is beneficialExperience with AWS Device Farm or Firebase Test Lab is a plus Team player mentality committed to the whole software development life cycle in the agile teamFluent English, Greek is a plus Our company tech stack Java, Kotlin, Node.js with Typescript for backendPixi with Canvas and Angular with Typescript for webJava / Kotlin for Android native Microsoft AzureKubernetes, Docker, MongoDB, RabbitMq, PostgreSQLREST, GraphQLKeycloakContinues integration, continues deployment with Jenkins and Github Actions Why Akelius As an employee at Akelius you will get A unique position in an international and dynamic environmentThe chance to be a key player in a growing, highly skilled teamA collaborative environment fostered by our kind and smart colleagues, representing more than twenty nationalities Team and company eventsBiennale: company outing every two years which is a mix of education, culture, activity and funCompetitive compensation packageSport allowance and flexible working hours21 days of annual holidays13th  salary and medical insuranceBright and modern offices in the heart of NicosiaOpen kitchen area where you can cook, along with free drinks, snacks and fruitAccess to free parking at or near the office How to apply Please send us your letter of motivation, together with your CV to career.cyprus@akelius.com. Include the title of the position you are applying for, in the subject of your email. About us Akelius Languages Online gGmbH is a non-profit organization. In cooperation with UNICEF, we are developing a language learning application. You can find it here languages.akelius (https://languages.akelius.com/) Currently, the language course is available in ten languages, Swedish, English, Greek, French, Italian, Spanish, German, Portuguese, Russian and Polish. Soon Arabic will become the eleventh language. More information about us on our website. (https://about.languages.akelius.com/) Please note The job applications are carefully screened, and only successful candidates will be contacted. All applications will be treated in strict confidence, ensuring GDPR compliance.     "
233746,https://www.ergodotisi.com/en/JobDetails/233746/HF-Markets,Larnaca,HF Markets,Full Time,2,"BSc, BA","  Manual QA Engineer    Larnaca CY    Forex Computer Science, Forex   HF Markets   HF Markets is searching for an enthusiastic and committed Manual QA Engineer to join our dynamic team!   1/3/2024 12:00:00 AM 2/3/2024 12:00:00 AM     Manual QA Engineer new REF. NUM: 233746     Larnaca  posted 31 days ago     HF Markets  expires today    146            CATEGORY: Computer Science, Forex  PUBLISHED BY: Private Company (LTD)   EMPLOYMENT TYPE: Fulltime INDUSTRY: Forex        We are searching for an enthusiastic and committed Manual QA Engineer to join our dynamic team at HF Markets.Your role at HF Markets:Analyse business requirements and understand the test acceptance criteria.Create, maintain, update and execute test scenarios to validate software functionality and identify defects.Record and report software defects in a clear and concise manner.Ensure the software meets functional and non-functional requirements.Contribute to the development and maintenance of manual testing processes and procedures.Collaborate with the development team to reproduce and resolve identified issues.Keep up to date with industry trends and new testing technologies and methodologies.What You Bring:BSc/BA in Computer Science, Computer Engineering, or a related field.2+ years’ experience in manual testing, with a focus on web and mobile applications.Strong attention to detail and ability to accurately identify and report software defects.Basic understanding of software testing methodologies and processes.Ability to write and maintain manual test cases and plans.By joining us, you can expect:Attractive remuneration package.22 days of Annual Leave (reaching up to 30 days per year based on years’ service).Hybrid Work Mode.Friday afternoons off in Summer (July & August).Birthdays are always a day off!Referral Bonus – refer a candidate we would all enjoy to work with!!Participation in the Company’s Medical Scheme from day one!Participation in the Company’s Group Discount Scheme.Free Gym Membership (Larnaca).Unlimited snacks, fruits, and beverages.Complimentary periodic lunches at the office.Fun team-building activities & Corporate events.Lifelong Learning Allowance plus paid Educational Leave.Who is HF Markets?Established Broker since 2010 | 60+ Industry Awards | over 3,500,000 Live Accounts | 300+ Employees Globally | 40+ Different Nationalities |At HF Markets, our workforce is our biggest asset. For this reason, we reward our employees’ individual talent and skills, and encourage them to reach their full potential in an engaging workplace that fosters excellence.Kick off an exceptional career with HF Markets and follow the path to success!Sounds like you? Come and write the next chapter with us through our Careers website: www.hfeu.com/careersAll applications will be treated as confidential.HF Markets is an Equal Opportunity Employer.  "
