URL,Location,Company,Employment Type,Years of Exp,Education Level,Data
"https://www.glassdoor.com/job-listing/entry-level-software-engineer-c-integration-innovation-inc-JV_IC1127653_KO0,31_KE32,58.htm?jl=1009097751787",Alabama,"Integration Innovation, Inc.",,3,,"Overview:  i3 is seeking a Software Engineer to develop cutting edge training and simulation for the US Army MQ-1C Gray Eagle Uncrewed Aerial System (UAS)'s next generation simulation and trainer. This project uses modern .NET/C# libraries including Blazor and SignalR. This project provides a unique opportunity to develop a new product from the ground up and enhance your front-end and back-end skillsets. Responsibilities: Candidate will develop software designs using best practices and object-oriented methodologies. Software will be developed using an agile-scrum development style. Integrating third-party libraries and applications into the overall system. Routine collaboration with team members in developing system capabilities. The candidate will be familiar with good configuration management practices and will be responsible for proper code maintenance, merging, and configuration management. Position Location: Huntsville, AL CONUS Travel required: Less than 10% Qualifications: Required Experience Have a Bachelor’s degree (or advanced degree) from an accredited college (ABET preferred) in computer science, engineering, mathematics, or the hard sciences, with 0-3 years of professional experience. Additional years of experience may be substituted for degree. Experience (academic or professional) in at least one programming language such as C#, C++, Java, or Python. Have experience with an agile development methodology and associated tools. Have experience with a configuration management software tool. Security Clearance: Candidate must have the ability to obtain a SECRET security clearance. Preferred Experience Experience developing software in C#. Familiarity with git for software source control and configuration management. Experience with virtualization technologies like Docker, Podman, or VmWare. Familiarity with UAS Command and Control Protocols like STANAG-4586 and FACE. Experience developing 6-DOF Aircraft simulation models is a plus. Communicating with third-party applications using low level messages via UDP/TCP or higher-level protocols such as gRPC. Experience with Image and Scene Generator protocols and tools like CIGI, VRSG, and BlueIG. Familiarity with basic design patterns like the repository, factory, and decorator patterns. About i3:  Headquartered in Huntsville, AL, i3 is a national leader in providing innovative technical and engineering solutions to a broad customer base across the U.S. DoD. Specializing in missile and aviation engineering and logistic services, electronic warfare and electromagnetic affects analysis, UAS system integration and flight operations, full lifecycle C5ISR engineering services, engineering analysis, cybersecurity and IT/IA innovative solutions and virtual training, simulation & serious game development and implementation. We were founded in 2007 with the intent to do business differently. Our focus is to leave our team members, our customers and our communities better than we found them. Our ultimate goal is to strengthen our Nation and our warfighter. Perks and Benefits at i3: 100% team member owned Outstanding insurance coverage 401(k) match Health and wellness incentives Tuition and certification reimbursement Generous PTO Fun culture with company activities Countless opportunities to give back to the community through our charitable organization, i3 Cares We work hard. We compete hard. We play hard. Apply now to join us!"
"https://www.glassdoor.com/job-listing/software-engineer-pradco-outdoor-brands-JV_IC1127429_KO0,17_KE18,39.htm?jl=1009111599758",Alabama,PRADCO Outdoor Brands,Remote,2,,"PRADCO Outdoor Brands (PRADCO) manufactures and markets major hunting and fishing brands and products. We are a leader in producing game calls, scents, attractants, game feeders, game cameras, tree stands and fishing lures. PRADCO Hunting owns the brands Moultrie, Summit, Knight & Hale, Code Blue, Texas Hunter Products and Whitetail Institute. PRADCO Fishing owns more than 20 brands including Bobby Garland, Booyah, Heddon, Lindy, Rebel, Thill, and YUM. For more information on PRADCO products, please visit our website at www.pradcooutdoorbrands.com. PRADCO team members participate in a selection of outstanding benefits, including: Profit Sharing Trust, Excellent Medical/Dental/Drug/Vision benefits, and many other benefits. Job Summary PRADCO is looking for a Software Engineer to contribute to its growing e-commerce business. The engineer will be supporting our e-commerce platform by updating the application, writing HTML, CSS and JavaScript for customer facing storefront features as well as writing backend code to integrate the platform with other systems. The position is a well-rounded role providing experience in the many layers of web software development. The Software Engineer position is a great opportunity to hone skills in many areas of web development, platform security and project management. The position is available for remote work, providing flexibility in time management and location. If you want to grow with a small team as we expand the capabilities of our business, please apply. Job Responsibilities Install platform and security updates for our Adobe Commerce (Magento) installation. Provide application support to the PRADCO team members that use the e-commerce platform. Write HTML, CSS and JavaScript frontend code for storefront pages. Write PHP backend code to integrate with other internal and 3rd-party systems. Maintain the security of the e-commerce platform to protect customer data, prevent fraudulent activity and continue PCI compliance. Communicate clearly with project stakeholders about task requirements and finished features. Manage assigned tasks using Kanban project management. Submit code using Git version control. Job Requirements Bachelor’s degree in information systems, computer science or related field of study, or equivalent software development experience. A minimum of 2 years’ experience with proficiency in: Object-oriented programming using a programming language like PHP, Java, C# or C++. Writing web frontend code using HTML, CSS and JavaScript. Using Git version control or other equivalent tools. Ability to work business hours in the North American Central time zone. Preferred Skills Experience using Adobe Commerce (Magento) preferred, but not required. Essential Job Functions Outstanding organizational, interpersonal and communication (written and verbal) skills. Strong analytical and problem-solving skills May require sitting for long periods of time in an office environment. Ability to see where process improvements can be made either through observation of processes or from communication with users and offer solutions to bring those improvements to life We are an equal opportunity employer and comply with all applicable federal, state, and local fair employment practices laws. We strictly prohibit and do not tolerate discrimination against employees, applicants, or any other covered persons because of race, color, sex, pregnancy status, age, national origin or ancestry, ethnicity, religion, creed, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class. This policy applies to all terms and conditions of employment, including, but not limited to, hiring, training, promotion, discipline, compensation, benefits, and termination of employment. We comply with the Americans with Disabilities Act (ADA), as amended by the ADA Amendments Act, and all applicable state or local law."
"https://www.glassdoor.com/job-listing/associate-controls-software-engineer-pa-solutions-JV_IC1127428_KO0,36_KE37,49.htm?jl=1009082923664",Alabama,PA Solutions,Flexible,not given,,"Job Description Required Duties: The candidate must be able to work in a professional engineering team-based environment. Engineering teams are responsible for the design and integration of control systems for customer applications and processes. Duties may include and are not limited to PLC and HMI programming, network design, system commissioning, system support, internal/external training, and technical consultation. Areas of focus are controls standardization. Candidate Responsibilities / Must also possess the following traits: Logical thinker & problem solver Organized & detail oriented Strong verbal and written communication skills Self-motivated with “can do” mindset Strong leadership skills Team player with emphasis on team development Innovative regarding new processes and development aids Budget and deadline aware Must be willing to travel up to 70% Must be willing to work long hours on various shift models Specific Responsibilities: The following lists are general responsibilities that may vary from customer to customer. Developing standardize code & development tools, including: Creating PLC/HMI/Diagnostic Libraries (AOIs, FBs, UDT, Faceplates, etc.) Creating Quality Check Tools – used to validate standards were properly executed Creating Process for Standards deployment including input/outputs of deliverables and utilizing check-in/check-out and sign-off procedures to ensure Quality and Timing Milestones are met Secondary: Participate in Design Reviews and support customer meetings proactively Train team members on project standards as applicable Plan to execute work within budget, with exceptional quality (FTR), and on time Track and report metrics as required Forecast time/resources to complete remaining work Participate in continuous improvement initiatives and champion outcomes of the initiatives. Supervise activities of functionally assigned personnel, applying knowledge of automation concepts and procedures and production area knowledge Execute, supervise, and verify all works aligns to customer specifications and expectations. Apply special knowledge of automation, controls engineering, and robotics where applicable Travel to customer sites as necessary for the betterment of assigned team or to personally deliver optimal solutions Additional Information Technical Skills: PLC Programming Rockwell – Studio5000, RSLogix 5 Siemens – TIA Portal V15+, Step 7 HMI Design: Rockwell – RS/FT View ME/SE Siemens – TIA Portal Advanced, WinCC Flexible/SCADA Computer Programming: Experience in one or more of the following: Visual Basic, C++, C#, Java, Python, etc. General Networking - Ethernet troubleshooting and design of various hardware types and configurations Network Address Translation VLANs Various Network Topologies (Star, Linear, Ring…) Business Software - Produce documentation, calculations, and presentations Microsoft Office: Hardware Design: Understand electrical, pneumatic and water schematics and complete the integration of industrial automation systems Education and Experience: Bachelor’s degree in a controls related field (Electrical Engineering, Computer Engineering, Computer Science or equivalent) One to three plus years of applicable experience in an industrial environment that includes design, debug, startup, and production-readying of industrial controls equipment. Must have knowledge of multiple customer platforms. Experience must include complete knowledge of full project lifecycle HSE All employees have the responsibility to work in a safe manner and report any health, safety or environmental concern to their manager or supervisor in a timely manner. Employee responsibilities for Health, Safety and Environment include: Work in compliance with divisional health, safety and environmental procedures Refrain from removing or altering safety devices or guarding unless hazardous energies are controlled through lockout-tagout methods Report any unsafe conditions or unsafe acts Report defect in any equipment or protective device Ensure that the required protective equipment is used for the assigned tasks Attend all required health, safety and environmental training Report any accidents/incidents to supervisor Assist in investigating accidents/incidents Refrain from engaging in any prank, contest, feat of strength, unnecessary running or rough and boisterous conduct Join the Winning Team at PA Solutions, Inc. (a global division of ATS Automation). We help exceptional customers automate their manufacturing as Tooling System Integrators. We work with Global OEM's/Tier suppliers supporting transportation and aerospace industries. Take your place among the best in the business and grow your career with PA Solutions, Inc. Join an environment where a passion for innovation is combined with an uncompromised commitment to quality. PA Solutions, Inc. offers a superior benefits package designed with you in mind! If you would like to automate your future, check us out and be a part of our unprecedented growth! All qualified applicants will receive consideration for employment without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations."
"https://www.glassdoor.com/job-listing/software-developers-junior-positions-gps-it-solutions-JV_IC1127776_KO0,36_KE37,53.htm?jl=1005685503346",Alabama,GPS IT Solutions,,2,,"GPS IT Solutions currently has the following openings to work at various customer sites throughout the USA. Applicants must be willing to travel and/or relocate.  Qualified and interested professionals are requested to Respond with resume and contact details to hr@gpsitsolutions.com . GPS IT Solutions. is seeking Software Developers in Tuscaloosa, AL to analyze user requirements, design, develop, test, and deploy various software applications under supervision of Sr. Software Developers. Requirements: BS or foreign equivalent in Comp. Sc./IT/Engg. /Math or related plus 2 years of relevant IT using Java, Microsoft SQL Server, .NET and Salesforce. Positions required travel to various unanticipated locations in the United States.  Please submit resume to: hr@gpsitsolutions.com"
"https://www.glassdoor.com/job-listing/gmd-weapons-system-gws-gni-cyber-devsecops-software-engineer-lockheed-martin-corporation-JV_IC1127653_KO0,60_KE61,88.htm?jl=1009104957092",Alabama,Lockheed Martin Corporation,"Fulltime, Flexible, Hybrid, Remote",5,Master,"JOB ID: 660760BR Date posted: Feb. 01, 2024  Description:What We're Doing As a part of the Lockheed Martin community, we take on challenges and find solutions using creativity and collaboration. If you’re looking to be a part of a passionate team solving these complex problems, then Rotary and Mission Systems is the place for you.  The Work Ground Missile Defense (GMD) is the heart of the Missile Defense System and a key element of our nation’s defense against ballistic missile attacks. The GMD Weapon System processes data from multiple sensors to identify and characterize the inbound ballistic missile threat, plans the best defensive solution, and launches the intercepting missiles to negate the threat. This role will provide DevSecOps engineering support to the GWS GNI program. The candidate will work directly with SW development teams to develop Infrastructure as code scripts in Terraform and Helm and maintain applications on Kubernetes clusters. Responsibilities include configuring and maintaining DevSecOps Continuous integration/Continuous Deployment (CI/CD) pipeline tools.  Due to the nature of the role, this is not being offered as a teleworking or hybrid position.  This position requires an Active DoD Secret Security Clearance.  Why Join Us  Your Health, Your Wealth, Your Life Our flexible schedules, competitive pay and comprehensive benefits enable you to live a healthy, fulfilling life at and outside of work.  Basic Qualifications: Bachelor’s Degree in a STEM (Science, Technology, Engineering or Mathematics) discipline from an accredited college and 5 years of related experience, or a Master's Degree in a STEM discipline and 3 years of related experience GWS Program experience Experience and skills in agile software principles, particularly with regard to building a plan or roadmap for multiyear program / product Must have a DOD 8570 IAT Level II certification (ex: Security + CE) Utilization of Agile practices and principles to deliver high quality products and services Experience with software development (i.e., Java/JavaScript, C++, C#, or any modern object-oriented language) and its life cycle to support DevSecOps Interest and aptitude in developing Infrastructure as code scripts in Terraform and Helm to provision cloud resources Deploying and maintaining applications on Kubernetes clusters Configuring and maintaining DevSecOps Continuous Integration/Continuous Deployment (CI/CD) pipeline tools Effective communication skills, both internally and externally to team Eagerness to expand knowledge and continually improve. Active DoD Secret Security Clearance Desired Skills: Agile knowledge Atlassian tool set experience Security Clearance Statement:This position requires a government security clearance, you must be a US Citizen for consideration. Clearance Level:Secret Other Important Information You Should Know Expression of Interest:By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings. Ability to Work Remotely:Onsite Full-time: The work associated with this position will be performed onsite at a designated Lockheed Martin facility. Work Schedules:Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits. Schedule for this Position:9x80 every other Friday off Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status. The application window will close in 90 days; applicants are encouraged to apply within 5 - 30 days of the requisition posting date in order to receive optimal consideration. At Lockheed Martin, we use our passion for purposeful innovation to help keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work.   With our employees as our priority, we provide diverse career opportunities designed to propel, develop, and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. We place an emphasis on empowering our employees by fostering an inclusive environment built upon integrity and corporate responsibility.  If this sounds like a culture you connect with, you’re invited to apply for this role. Or, if you are unsure whether your experience aligns with the requirements of this position, we encourage you to search on Lockheed Martin Jobs, and apply for roles that align with your qualifications. Experience Level:Experienced Professional Business Unit:RMS Relocation Available:Possible Career Area:Software Engineering Type:Full-Time Shift:First At Lockheed Martin, we apply our passion for purposeful innovation to keep people safe and solve the world's most complex challenges. Mission-Focused Innovation: From aerospace to outer space to cyber space, you can solve the world's most complex challenges for our customers. Foundational Values: Our culture of performance excellence, ethics, teamwork and inclusion is embedded in everything we do. Diverse Career Opportunities with Meaningful Work: Grow your career and skills for life. Our technology-driven learning platforms and programs enable your development and agility. Your Health, Your Wealth, Your Life: Our flexible schedules, competitive pay and comprehensive benefits enable you to live a healthy, fulfilling life at and outside of work. Empowered to Be Your Best: Use your strengths to make a difference in the lives of one another, our customers, our communities and our planet. Commitment to Sustainability: We foster innovation, integrity and security to preserve the environment, strengthen diverse communities and propel growth. Here, the possibilities are endless because we offer: Flexible Schedules, dependent on role Levels: Student, Entry, Mid, Senior, Management Locations: Nationwide & OCONUS Positions"
"https://www.glassdoor.com/job-listing/entry-level-software-engineer-torch-technologies-inc-JV_IC1127653_KO0,29_KE30,52.htm?jl=1009059833616",Alabama,Element with the specified ID not found.,,not given,,Element with the specified ID not found.
"https://www.glassdoor.com/job-listing/web-developer-html-javascript-web-templates-online-commerce-group-ocg-JV_IC1127704_KO0,43_KE44,69.htm?jl=1009075018370",Alabama,Online Commerce Group (OCG),"Parttime, Remote",not given,,"LOCATION Montgomery, Alabama or Part-Time Remote (For hire or contract)  JOB DUTIES Collaborate with the design team to implement responsive and user-friendly web templates using HTML and CSSDevelop interactive and dynamic web interfaces using JavaScript and related frameworksCustomize and integrate web templates, ensuring consistency and seamless user experienceOptimize web applications for maximum speed and scalabilityTroubleshoot and debug issues across different browsers and devicesStay up-to-date with emerging web development trends and technologies  JOB REQUIREMENTS Proven experience as a Web Developer with a portfolio showcasing relevant projectsProficiency in HTML and JavaScript (any version)Familiarity with web templates and frameworks (e.g., Bootstrap, Foundation, etc.)Understanding of responsive design principlesExperience with cross-browser compatibility and debuggingProblem-solving skills and an ability to think creativelyExcellent communication and collaboration skills  Not Required (but helpful) Experience with Magento or WordpressExperience with Google Analytics or Adobe Analytics  To apply for this position, submit your resume to jobs@onlinecommercegroup.com."
"https://www.glassdoor.com/job-listing/software-engineer-rust-leidos-JV_IC1127676_KO0,22_KE23,29.htm?jl=1009111267253",Alabama,Leidos,Flexible,not given,Master,"Description Software Engineer (Rust) Leidos are a global leader in the integration and application of information technology, engineering, and science to solve the customers' most demanding challenges. We deliver mission-focused solutions including cloud services, enterprise IT solutions, data centre modernization, operational technology and cyber security including end-to-end cyber integration and high-grade encryption. We are looking for an experienced Software Engineer to join the Leidos National Security & Defence team. This is a new opportunity for a Senior Software Engineer to join a multi disciplined Scrum Team to work on a multi-year transformation programme for our client, developing complex applications in a high assurance environment. Your Role and Responsibilities; Development of back-end applications using Rust to meet custome requirements/ User Stories Ensuring all development meets stringent Software, Engineering and Quality standards Supporting the rest of the team to ensure alignment of requirements/user stories, designs and testing and maintenance of a strict baseline through the sprint process Triaging and fixing issues and defects Ensuring good coverage and maintenance of Unit and Component Tests Operating a CI/CD pipeline to improve efficiency Essential; Experience developing in languages like C, C++, Python and Java Experience of Automated Unit and Component Testing Experience of CI/CD pipelines Experience using Git Experience with static analysis tools e.g. SonarQube, Coverity Good experience of Agile development methods Experience developing with Rust (training will be provided if not) Experience of working on secure Government, or MoD IT projects and programmes. Other; Bachelor's or Master's Degree: A degree in computer science, electrical engineering, or a related field is preferred. Professional membership of BCS or IET Who We Are: Leidos UK & EUROPE – we work to make the world safer, healthier, and more efficient through technology, engineering and science. https://www.leidos.com/company/global/uk-europe (add link to ‘Leidos UK & EUROPE’ text) Leidos is a growing company delivering innovative technology and solutions focused on safeguarding critical capabilities and transformation in frontline services, our work in the United Kingdom includes addressing some of the most complex problems in defence, healthcare, government, safety and security, and transportation. What we do for you: At Leidos we are PASSIONATE about customer success, UNITED as a team and INSPIRED to make a difference. We offer meaningful and engaging careers, a collaborative culture, and support for your career goals, all while nurturing a healthy work-life balance. We provide an employment package that attracts, develops and retains only the best in talent. Our reward scheme includes: Contributory Pension SchemePrivate Medical Insurance33 days Annual Leave (including public and privilege holidays)Access to Flexible benefits (including life assurance, health schemes, gym memberships, annual buy and sell holidays and a cycle to work scheme)Dynamic Working https://www.leidos.com/sites/g/files/zoouby166/files/2019-11/PDF-Dynamic-Working-Leidos-UK.pdf (add link to ‘Dynamic Working’ text) Commitment to Diversity: We welcome applications from every part of the community and are committed to a truly diverse and inclusive culture. We foster a sense of belonging, welcoming all perspectives and contributions, and providing equal access to opportunities and resources for everyone. If you have a disability or need any reasonable adjustments during the application and selection stages please let us know, and we will respond in a way that best fits your needs. Original Posting Date: 2024-02-05 While subject to change based on business needs, Leidos reasonably anticipates that this job requisition will remain open for at least 3 days with an anticipated close date of no earlier than 3 days after the original posting date as listed above. Pay Range: The Leidos pay range for this job level is a general guideline only and not a guarantee of compensation or salary. Additional factors considered in extending an offer include (but are not limited to) responsibilities of the job, education, experience, knowledge, skills, and abilities, as well as internal equity, alignment with market data, applicable bargaining agreement (if any), or other law. Original Posting Date: 03/02/2023 While subject to change based on business needs, Leidos reasonably anticipates that this job requisition will remain open for at least 3 days with an anticipated close date of no earlier than 3 days after the original posting date as listed above."
"https://www.glassdoor.com/job-listing/software-application-developer-offset-strategic-services-llc-JV_IC1127653_KO0,30_KE31,60.htm?jl=1009102074727",Alabama,"Offset Strategic Services, LLC",Fulltime,4,MA,"OSS is a Service Disabled Veteran Owned Small Business headquartered in Huntsville, AL. We are focused on ""Making a Difference"" in the lives of our Department of Defense Customers, Communities, and Employees. Our greatest strength is our people. We expect competence and character and look for uniquely skilled and passionate individuals bound by a collective vision to bring their best to our mission. OSS believes in taking great care of our employees, evidenced by our exemplary benefits package: OSS covers 75% of the monthly insurance cost towards employee Health Insurance, we offer multiple Principal product options, and we have a fantastic 401k plan match with eligibility to start immediately upon hire. If you are interested in an opportunity to join a great mission, supporting awesome customers with a growing company, please reach out to us to learn more!OSS is seeking a talented software application developer that is excited about learning new technologies, and is both a team player and capable of leading full lifecycle application development efforts. The initial focus will be implementing enhancements to an existing application utilizing C#, and we anticipate on-going new requirements and new development opportunities for this position going forward. This is position currently allows for 2 days/week telework and 3 days/week on-site for one of our valued government customers. You must have excellent communication and documentation skills, and thrive in a fast-paced environment. Our primary objective is to provide our customers with outstanding support and dedication to help them fulfill their mission.Requirements:4+ years' experience developing applications utilizing C# or C++Bachelors Degree in Computer Science, Management Information Systems, or related fieldAbility to attain Secret Security Clearance (required before starting)Skilled in user interface development and data visualizationSelf-starter that looks for the next priority task to work once the task at hand is accomplishedAbility to keep stakeholders informed of project timelines and changesExcellent organizational, time-management, and verbal/written communication skillsEnjoys and excels working in a team environmentPreferred:CompTIA Security+ certification (or equivalent)Experience working with NI LabView and/or MATLABExperience in translating informal customer requirements into technical requirements, to include business process mapping, interface design, business rules, and database design.Advanced proficiency in Microsoft ExcelSecurity Clearance is required - therefore, only US citizens can be considered.Offset Strategic Services, Inc. is an Equal Opportunity employer. We prohibit discrimination and harassment of any type. All applicants will be considered for employment without regard to race, color, age, religion, sex, sexual orientation, genetics, gender identity, national origin, protected veteran or disability status or any other characteristic protected by federal, state or local laws. This policy applies to all terms and conditions of employment, including recruitment, hiring, placement, promotion, termination, layoff, recall, transfer, and compensation. We are committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities. To request a reasonable accommodation, please email us from our website contact link.ExperienceRequired4 or more years of experienceSkillsPreferredC++BehaviorsPreferredDetail Oriented: Capable of carrying out a given task with all details necessary to get the task done wellTeam Player: Works well as a member of a groupEnthusiastic: Shows intense and eager enjoyment and interestEqual Opportunity Employer/Protected Veterans/Individuals with DisabilitiesThe contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)Job Type: Full-time"
"https://www.glassdoor.com/job-listing/software-test-engineer-barrios-technology-JV_IC1127653_KO0,22_KE23,41.htm?jl=1009060888955",Alabama,Barrios Technology,,not given,BA,"Overview:  Our long-term client relationship with Boeing Corporation has led to a need for a Software Test Engineer in the Payload Software Integration and Verification Facility (PSIVF) on the Boeing Engineering and Technical Services (BETS-SWS) contract located in Huntsville, AL. Additional need involves Integration and Formal Testing of Payload Flight and Ground software product releases used on-orbit and supporting science discovery and exploration on the International Space Station (ISS). Building on more than four decades of experience in providing innovative integration solutions for government and commercial space programs, Barrios offers an extensive range of engineering, software, and related technology integration services in support of the aerospace community. As a woman-owned and operated small business, we are a people-focused company that supports professional development, while working to ensure that you maintain a healthy work-life balance. Barrios employees actively participate in the growth of the commercial spaceflight industry through our partnerships with companies leading commercial space development, as well as successfully supporting NASA as our primary government customer. Our long history supporting Low Earth Orbit (LEO) on the International Space Station, and now Commercial LEO, lays the groundwork for future missions to the Moon through our work on Orion, Gateway, and the Space Launch System. Responsibilities:  The Software Test Engineer will: Participate in, and conduct Test Open Records Review (TORRs) and Test Readiness Reviews (TRRs), as required. Update and audit Process Documentation. Support testing of the International Space Station (ISS) Vehicle. Develop test procedures, execute tests during informal and formal testing, and develop/release test reports, as required. Participate in and conduct peer reviews of release products, as required. Document discrepancies and problems. Support and participate in Test Open Records Review (TORRs) and Test Readiness Reviews (TRRs), as required. Perform other duties as required.  Qualifications:  This position is posted at multiple levels. Depending on the candidate’s experience, position requirements and business needs, we reserve the right to consider candidates at any level for which this position has been advertised. Required Education/Experience/Skills: BS/BA degree in a related field from an accredited college or university, plus one (1) year of experience, or any equivalent combination of education/experience. - OR -  BS/BA degree in a related field from an accredited college or university, plus five (5) years of experience, or any equivalent combination of education/experience. - OR - BS/BA degree in a related field from an accredited college or university, plus ten (10) years of experience, or any equivalent combination of education/experience. Preferences: Direct software experience or any equivalent combination of relevant education and experience. Working knowledge of web languages (ex. HTML, CSS, PHP, Java, JavaScript, etc). Thorough knowledge of Microsoft Office products. Experience working in a team environment. Excellent communication skills both written and verbal using the English language. SharePoint development experience. Understanding of software testing and requirements verification. Use of C/C++ or other scripting language. Software test experience. Process oriented. Essential Requirements Must be a U.S. Citizen and successfully complete a U.S. government background investigation. Post offer applicants and employees are subject to testing for marijuana, cocaine, opioids, amphetamines, PCP, and alcohol as outlined in our Drug Free Workplace policy. Applicant selected may be subject to government security investigation and must meet eligibility requirements for access to classified information. Work may involve sitting for extended periods. May require lifting and carrying up to 25 lb. Must have sufficient mobility to enter areas of test facilities where necessary. Generally an office environment, but can involve inside or outside work depending on task. Standard office equipment (PC, telephone, fax, etc.) Regular attendance in accordance with established work schedule is critical. Ability to work outside normal schedule and adjust schedule to meet peak periods and surge requirements when required. Must be able to work in a team atmosphere. Must put forward a professional behavior that enhances productivity and promotes teamwork and cooperation. Grooming and dress must be appropriate for the position and must not impose a safety risk/hazard to the employee or others. This position may require some commuting and traveling to other installations as needed. Don’t miss out on this great opportunity; for immediate consideration, apply now! Barrios Technology is a drug-free workplace, which is imperative to the health and safety of all employees and is required as a condition of receiving contracts from federal agencies. Please remember that regardless of the legalization of marijuana in several states, possession and use continues to be illegal under the federal Controlled Substances Act. This includes the use of some CBD products. A post-offer, pre-employment drug test is a condition of employment. Barrios Technology is an Equal Employment Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, disability, sex, sexual orientation, gender identity or expression, age, national origin, veteran status, genetic information, union status and/or beliefs, or any other characteristic protected by federal, state, or local law."
